cardID,card_exp_date,current_points,points_redeemed,first_name,last_name,street_name,street_number,apt_floor,city,zip,relationship_status,numer of kids,date_of_birth
3535208848433345,2022-02-23,538,5,Fotis,Stergiou,Kolokotroni,120,5,Patras,26334,married,4,1957-07-19
3539998785545905,2024-01-03,914,0,Michalis,Georgiou,Nikis,140,2,Thessaloniki,56533,married,0,1994-05-08
4041377485936095,2023-08-30,751,80,Ilias,Vikos,Makrygianni,96,4,Athens,14434,widowed,1,1956-02-16
676390693864711764,2022-05-21,792,15,Karolos,Tsigkos,Vonis,15,0,Thessaloniki,56528,free,3,1986-10-10
3569406591188236,2023-12-21,502,85,Katerina,Bakou,Mystra,114,1,Athens,16672,divorced,1,1980-02-05
3558564444026699,2021-03-02,29,0,Kelly,Emiri,Ag.Sofias,54,5,Athens,10563,divorced,1,1984-12-17
6331100457650534,2022-07-19,666,70,Zacharias,Zacharopoulos,Riou,21,5,Patras,26324,widowed,1,1957-07-08
30387378609171,2021-07-16,566,50,Eleonora,Dakou,Ag.Petrou,33,5,Patras,26332,married,0,1971-07-29
676281548954731050,2023-03-10,111,30,Vasilis,Sotos,Patision,144,0,Athens,14232,widowed,2,1948-01-21
337941622735875,2023-10-06,35,45,Ilia,Karaouzou,Dilou,65,4,Patras,26221,free,0,1988-12-22
3528583765397106,2021-11-06,40,5,Leonidas,Soultanoglou,Emporiou,19,2,Thessaloniki,56533,married,3,1985-08-22
372383746387083,2023-01-02,706,25,Vicky,Mastora,Vlasiou,137,4,Thessaloniki,56401,free,0,2001-04-12
4026692380128484,2023-06-23,179,50,Georgia,Orfanou,L.Alexandras,114,2,Athens,14432,free,0,2001-01-30
5602231135655134,2023-03-24,230,95,Christina,Fokou,Averof,44,5,Thessaloniki,56365,free,0,1987-05-24
374283917434193,2021-12-24,750,85,Tryfonas,Daliakopoulos,Eforias,124,3,Patras,26222,married,2,1953-07-07
67595160748032499,2022-10-07,331,45,Michaela,Kimonos,Notou,74,4,Athens,16674,divorced,2,1989-10-31
374283683825996,2022-12-09,738,55,Abbott,Follows,Montana,91,2,Athens,16671,married,3,1962-04-16
3569356686756787,2022-04-19,594,30,Kimonas,Maratos,Marathiou,77,2,Athens,15544,free,0,1978-12-01
3553025778183931,2023-03-08,775,20,Anna,Liardou,Profiti Ilia,26,4,Patras,23386,married,2,1986-07-13
0604376014175388,2021-09-01,25,0,Konstantinos,Genadopoulos,Stratou,33,1,Patras,22443,married,0,1962-07-15
670683223721340646,2021-07-16,873,20,Fotis,Nakos,Pontou,106,3,Athens,16664,divorced,1,1985-11-29
3531043064624887,2020-11-30,244,85,Silia,Ramou,Polemiou,104,2,Athens,15678,widowed,2,1951-11-09
5207029705515384,2021-10-15,383,75,Giorgos,Georgiou,Italias,49,1,Patras,21346,married,1,1992-03-30
